	(0, 0, 0, 0)	(0, 0, 0, 1)	(0, 0, 1, 0)	(0, 0, 1, 1)	(0, 1, 0, 0)	(0, 1, 0, 1)	(0, 1, 1, 0)	(0, 1, 1, 1)	(1, 0, 0, 0)	(1, 0, 0, 1)	(1, 0, 1, 0)	(1, 0, 1, 1)	(1, 1, 0, 0)	(1, 1, 0, 1)	(1, 1, 1, 0)	(1, 1, 1, 1)	edge_sign
(3, 8)	12	0	1	0	0	0	0	0	5	0	5	1	0	0	0	1	0
(8, 3)	12	0	5	0	0	0	0	0	1	0	5	0	0	0	1	1	0
(6, 8)	59	4	6	0	4	3	0	0	3	0	2	0	0	0	0	1	0
(8, 6)	59	4	3	0	4	3	0	0	6	0	2	0	0	0	0	1	0
(6, 9)	34	2	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0
(9, 6)	34	1	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0
(6, 10)	24	4	1	0	1	5	0	0	2	0	1	0	0	0	0	0	1
(10, 6)	24	1	2	0	4	5	0	0	1	0	1	0	0	0	0	0	1
(6, 11)	82	3	0	0	16	8	0	0	3	0	0	0	0	0	0	0	0
(11, 6)	82	16	3	0	3	8	0	0	0	0	0	0	0	0	0	0	1
(6, 14)	24	1	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0
(14, 6)	24	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
(6, 15)	11	0	8	2	0	1	1	2	1	0	2	0	0	0	0	0	0
(15, 6)	11	0	1	0	0	1	0	0	8	1	2	0	2	2	0	0	0
(6, 19)	17	0	2	0	1	0	0	1	0	0	3	0	0	0	0	1	0
(19, 6)	17	1	0	0	0	0	0	0	2	0	3	0	0	1	0	1	1
(6, 20)	36	4	0	0	1	8	0	0	3	0	0	0	0	0	0	0	0
(20, 6)	36	1	3	0	4	8	0	0	0	0	0	0	0	0	0	0	0
(6, 23)	11	4	4	0	1	8	1	1	0	0	2	0	0	0	0	0	1
(23, 6)	11	1	0	0	4	8	0	0	4	1	2	0	0	1	0	0	0
(6, 24)	24	2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
(24, 6)	24	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
(6, 25)	18	7	0	0	2	3	0	0	0	1	0	0	0	0	0	0	0
(25, 6)	18	2	0	0	7	3	1	0	0	0	0	0	0	0	0	0	-1
(6, 26)	40	3	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0
(26, 6)	40	1	2	0	3	2	0	0	0	0	0	0	0	0	0	0	1
(6, 27)	19	3	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0
(27, 6)	19	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0	1
(6, 28)	32	4	9	2	3	5	0	1	2	1	5	1	0	0	1	0	1
(28, 6)	32	3	2	0	4	5	1	0	9	0	5	1	2	1	1	0	0
(6, 29)	26	6	6	1	4	2	1	0	2	0	0	0	0	0	1	0	1
(29, 6)	26	4	2	0	6	2	0	0	6	1	0	1	1	0	0	0	0
(6, 35)	26	0	12	0	1	1	5	0	0	0	1	0	0	0	0	0	1
(35, 6)	26	1	0	0	0	1	0	0	12	5	1	0	0	0	0	0	0
(6, 36)	29	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0
(36, 6)	29	3	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0
(6, 39)	21	0	4	2	0	1	0	1	0	0	2	0	0	0	0	0	0
(39, 6)	21	0	0	0	0	1	0	0	4	0	2	0	2	1	0	0	0
(6, 42)	23	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0
(42, 6)	23	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
(6, 47)	21	9	0	0	1	3	0	0	1	2	0	0	0	0	0	0	0
(47, 6)	21	1	1	0	9	3	2	0	0	0	0	0	0	0	0	0	0
(6, 55)	13	3	6	0	1	2	1	0	0	1	3	0	0	0	0	0	1
(55, 6)	13	1	0	0	3	2	1	0	6	1	3	0	0	0	0	0	0
(6, 71)	17	7	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0
(71, 6)	17	2	1	0	7	3	0	0	0	0	0	0	0	0	0	0	0
(6, 72)	24	12	2	4	0	3	2	0	0	0	1	0	0	0	0	0	0
(72, 6)	24	0	0	0	12	3	0	0	2	2	1	0	4	0	0	0	0
